"TIME","CH1","CH2"
6.7554010e-01,-0.04,-0.2
6.7554020e-01,-0.08,-0.4
6.7554030e-01,-0.12,-0.4
6.7554040e-01,-0.2,-0.5
6.7554050e-01,0.04,-0.3
6.7554060e-01,-0.12,-0.5
6.7554070e-01,-0.16,-0.5
6.7554080e-01,-0.04,-0.5
6.7554090e-01,0.04,-0.6
6.7554100e-01,-0.16,-0.4
6.7554110e-01,0,-0.6
6.7554120e-01,-0.12,-0.2
6.7554130e-01,-0.08,-0.3
6.7554140e-01,-0.08,-0.3
6.7554150e-01,-0.08,-0.8
6.7554160e-01,-0.12,-0.3
6.7554170e-01,-0.24,-0.4
6.7554180e-01,-0.12,-0.3
6.7554190e-01,-0.04,-0.1
6.7554200e-01,-0.08,-0.4
6.7554210e-01,0.04,-0.5
6.7554220e-01,-0.16,-0.2
6.7554230e-01,-0.12,-0.3
6.7554240e-01,0.04,-0.6
6.7554250e-01,-0.08,-0.7
6.7554260e-01,0.04,-0.1
6.7554270e-01,0,-0.4
6.7554280e-01,0.04,-0.3
6.7554290e-01,-0.04,-0.3
6.7554300e-01,0,-0.3
6.7554310e-01,0,-0.5
6.7554320e-01,-0.04,-0.3
6.7554330e-01,0.04,-0.3
6.7554340e-01,0.04,-0.3
6.7554350e-01,-0.04,-0.6
6.7554360e-01,0,-0.2
6.7554370e-01,0,-0.2
6.7554380e-01,0,-0.4
6.7554390e-01,-0.08,-0.5
6.7554400e-01,0,-0.5
6.7554410e-01,0.08,-0.5
6.7554420e-01,-0.08,-0.3
6.7554430e-01,-0.12,-0.6
6.7554440e-01,-0.08,-0.6
6.7554450e-01,-0.24,-0.4
6.7554460e-01,-0.08,-0.6
6.7554470e-01,-0.12,-0.5
6.7554480e-01,-0.04,-0.3
6.7554490e-01,0,-0.4
6.7554500e-01,-0.04,-0.7
6.7554510e-01,-0.04,-0.3
6.7554520e-01,-0.12,-0.4
6.7554530e-01,0,-0.3
6.7554540e-01,0.12,-0.3
6.7554550e-01,-0.04,-0.9
6.7554560e-01,-0.08,-0.2
6.7554570e-01,0,-0.3
6.7554580e-01,0,-0.6
6.7554590e-01,0.08,-0.6
6.7554600e-01,0.08,-0.5
6.7554610e-01,-0.04,-0.5
6.7554620e-01,-0.04,-0.7
6.7554630e-01,0,-0.4
6.7554640e-01,0.04,-0.7
6.7554650e-01,0.04,-0.8
6.7554660e-01,-0.12,-0.4
6.7554670e-01,-0.12,-0.1
6.7554680e-01,-0.04,-0.4
6.7554690e-01,-0.04,-0.3
6.7554700e-01,-0.04,-0.7
6.7554710e-01,0,-0.2
6.7554720e-01,-0.08,-0.7
6.7554730e-01,-0.04,-0.2
6.7554740e-01,-0.08,-0.5
6.7554750e-01,0,-0.6
6.7554760e-01,0,-0.4
6.7554770e-01,-0.04,-0.3
6.7554780e-01,-0.04,-0.4
6.7554790e-01,0,-0.2
6.7554800e-01,0.08,-0.6
6.7554810e-01,0.04,-0.4
6.7554820e-01,0.04,-0.3
6.7554830e-01,-0.08,-0.4
6.7554840e-01,-0.04,-0.4
6.7554850e-01,-0.04,-0.8
6.7554860e-01,-0.12,-0.4
6.7554870e-01,-0.04,-0.6
6.7554880e-01,-0.04,0.1
6.7554890e-01,-0.08,-0.3
6.7554900e-01,-0.04,-0.4
6.7554910e-01,-0.08,-0.3
6.7554920e-01,-0.12,-0.5
6.7554930e-01,-0.08,-0.7
6.7554940e-01,0.04,-0.2
6.7554950e-01,-0.04,-0.2
6.7554960e-01,-0.12,-0.6
6.7554970e-01,0,-0.1
6.7554980e-01,0.16,-0.3
6.7554990e-01,0.08,-0.2
6.7555000e-01,0.04,-0.4
6.7555010e-01,-0.08,-0.3
6.7555020e-01,0.04,-0.7
6.7555030e-01,-0.16,-0.1
6.7555040e-01,-0.12,-0.5
6.7555050e-01,0.04,-0.4
6.7555060e-01,-0.08,-0.5
6.7555070e-01,-0.08,-0.4
6.7555080e-01,0.08,-0.3
6.7555090e-01,0,-0.5
6.7555100e-01,-0.08,-0.7
6.7555110e-01,-0.12,-0.5
6.7555120e-01,-0.12,-0.7
6.7555130e-01,-0.16,-0.4
6.7555140e-01,-0.12,0
6.7555150e-01,-0.12,-0.3
6.7555160e-01,-0.12,-0.5
6.7555170e-01,0,-0.5
6.7555180e-01,0,-0.4
6.7555190e-01,0,-0.4
6.7555200e-01,-0.12,-0.4
6.7555210e-01,-0.08,-0.6
6.7555220e-01,-0.08,-0.5
6.7555230e-01,0.12,-0.5
6.7555240e-01,-0.12,-0.4
6.7555250e-01,-0.04,-0.3
6.7555260e-01,-0.08,-0.4
6.7555270e-01,0.04,-0.4
6.7555280e-01,0.04,-0.5
6.7555290e-01,-0.08,-0.5
6.7555300e-01,-0.04,-0.4
6.7555310e-01,0.04,-0.6
6.7555320e-01,-0.16,-0.3
6.7555330e-01,-0.12,-0.6
6.7555340e-01,-0.04,-0.5
6.7555350e-01,-0.08,-0.4
6.7555360e-01,-0.04,-0.5
6.7555370e-01,-0.12,-0.5
6.7555380e-01,-0.04,-0.8
6.7555390e-01,-0.04,-0.6
6.7555400e-01,-0.04,-0.5
6.7555410e-01,-0.04,-0.6
6.7555420e-01,-0.12,-0.5
6.7555430e-01,-0.16,-0.5
6.7555440e-01,0.04,-0.5
6.7555450e-01,0,-0.5
6.7555460e-01,-0.12,-0.5
6.7555470e-01,-0.04,-0.5
6.7555480e-01,-0.04,-0.6
6.7555490e-01,-0.16,-0.2
6.7555500e-01,0.04,-0.5
6.7555510e-01,-0.2,-0.3
6.7555520e-01,-0.04,-0.2
6.7555530e-01,-0.16,-0.5
6.7555540e-01,-0.16,-0.2
6.7555550e-01,-0.08,-0.4
6.7555560e-01,-0.08,-0.4
6.7555570e-01,-0.04,-0.2
6.7555580e-01,-0.04,-0.6
6.7555590e-01,-0.12,-0.3
6.7555600e-01,0,-0.4
6.7555610e-01,-0.08,-0.4
6.7555620e-01,-0.08,-0.5
6.7555630e-01,-0.04,-0.6
6.7555640e-01,-0.16,-0.4
6.7555650e-01,0,-0.4
6.7555660e-01,0,-0.4
6.7555670e-01,-0.12,-0.4
6.7555680e-01,-0.12,-0.5
6.7555690e-01,-0.2,-0.6
6.7555700e-01,-0.04,-0.6
6.7555710e-01,-0.16,-0.6
6.7555720e-01,-0.04,-0.7
6.7555730e-01,-0.04,-0.4
6.7555740e-01,-0.16,-0.3
6.7555750e-01,-0.04,-0.7
6.7555760e-01,-0.08,-0.3
6.7555770e-01,-0.04,-0.4
6.7555780e-01,0.04,-0.4
6.7555790e-01,0.04,-0.2
6.7555800e-01,-0.04,-0.5
6.7555810e-01,-0.2,-0.2
6.7555820e-01,-0.04,-0.5
6.7555830e-01,-0.08,-0.5
6.7555840e-01,-0.12,-0.2
6.7555850e-01,-0.12,-0.3
6.7555860e-01,-0.16,-0.5
6.7555870e-01,0.12,-0.6
6.7555880e-01,-0.24,-0.5
6.7555890e-01,-0.2,-0.4
6.7555900e-01,-0.04,-0.8
6.7555910e-01,0,-0.3
6.7555920e-01,0.04,-0.4
6.7555930e-01,-0.04,-0.6
6.7555940e-01,-0.04,-0.5
6.7555950e-01,-0.12,-0.4
6.7555960e-01,-0.2,-0.6
6.7555970e-01,0,-0.5
6.7555980e-01,-0.12,-0.6
6.7555990e-01,-0.12,-0.5
6.7556000e-01,-0.16,-0.2
6.7556010e-01,-0.04,-0.3
6.7556020e-01,-0.04,-0.2
6.7556030e-01,-0.08,-0.4
6.7556040e-01,-0.12,-0.6
6.7556050e-01,-0.12,-0.5
6.7556060e-01,0.08,-0.2
6.7556070e-01,-0.04,-0.4
6.7556080e-01,-0.16,-0.6
6.7556090e-01,-0.2,-0.7
6.7556100e-01,0,-0.4
6.7556110e-01,-0.16,-0.3
6.7556120e-01,0.08,-0.6
6.7556130e-01,0,-0.2
6.7556140e-01,-0.08,-0.2
6.7556150e-01,-0.08,-0.2
6.7556160e-01,0.16,-0.4
6.7556170e-01,0,-0.3
6.7556180e-01,0.04,-0.4
6.7556190e-01,-0.08,-0.3
6.7556200e-01,-0.08,-0.5
6.7556210e-01,-0.04,-0.4
6.7556220e-01,0.04,-0.5
6.7556230e-01,-0.12,-0.6
6.7556240e-01,0.04,-0.4
6.7556250e-01,-0.16,-0.4
6.7556260e-01,-0.08,-0.2
6.7556270e-01,-0.04,-0.6
6.7556280e-01,0.04,-0.5
6.7556290e-01,0.04,-0.5
6.7556300e-01,0,-0.5
6.7556310e-01,0,-0.5
6.7556320e-01,-0.04,-0.4
6.7556330e-01,0.08,-0.1
6.7556340e-01,-0.04,-0.5
6.7556350e-01,0,-0.3
6.7556360e-01,0.04,-0.7
6.7556370e-01,0,-0.2
6.7556380e-01,-0.12,-0.7
6.7556390e-01,0,-0.4
6.7556400e-01,-0.04,-0.1
6.7556410e-01,-0.16,-0.7
6.7556420e-01,-0.04,-0.3
6.7556430e-01,-0.16,-0.4
6.7556440e-01,0,-0.6
6.7556450e-01,-0.04,0
6.7556460e-01,-0.16,-0.3
6.7556470e-01,-0.08,-0.6
6.7556480e-01,0.04,-0.3
6.7556490e-01,-0.04,-0.6
6.7556500e-01,0,-0.1
6.7556510e-01,0.04,-0.4
6.7556520e-01,0,-0.4
6.7556530e-01,-0.04,-0.5
6.7556540e-01,-0.12,-0.4
6.7556550e-01,0,-0.4
6.7556560e-01,-0.04,-0.4
6.7556570e-01,-0.04,-0.3
6.7556580e-01,0.04,-0.4
6.7556590e-01,-0.04,-0.4
6.7556600e-01,0,-0.7
6.7556610e-01,-0.04,-0.4
6.7556620e-01,-0.04,-0.5
6.7556630e-01,0.08,-0.3
6.7556640e-01,0,-0.4
6.7556650e-01,-0.16,-0.4
6.7556660e-01,0,-0.7
6.7556670e-01,0.16,-0.5
6.7556680e-01,0,-0.5
6.7556690e-01,0.04,-0.3
6.7556700e-01,0,-0.5
6.7556710e-01,0,-0.4
6.7556720e-01,-0.12,-0.4
6.7556730e-01,0,-0.6
6.7556740e-01,-0.04,-0.3
6.7556750e-01,-0.04,-0.6
6.7556760e-01,-0.04,-0.3
6.7556770e-01,0,-0.4
6.7556780e-01,-0.08,-0.5
6.7556790e-01,0,-0.4
6.7556800e-01,-0.16,-0.5
6.7556810e-01,-0.08,-0.5
6.7556820e-01,-0.04,-0.4
6.7556830e-01,0,-0.6
6.7556840e-01,0,-0.4
6.7556850e-01,0,-0.3
6.7556860e-01,-0.04,-0.2
6.7556870e-01,-0.08,-0.6
6.7556880e-01,0,-0.1
6.7556890e-01,-0.08,-0.2
6.7556900e-01,-0.08,-0.3
6.7556910e-01,-0.08,-0.3
6.7556920e-01,-0.12,-0.2
6.7556930e-01,0,-0.3
6.7556940e-01,-0.04,-0.2
6.7556950e-01,-0.12,-0.8
6.7556960e-01,-0.12,-0.2
6.7556970e-01,-0.04,-0.2
6.7556980e-01,0,-0.4
6.7556990e-01,-0.04,-0.5
6.7557000e-01,-0.04,-0.4
6.7557010e-01,-0.08,-0.1
6.7557020e-01,-0.08,-0.4
6.7557030e-01,0,-0.3
6.7557040e-01,0.04,-0.1
6.7557050e-01,0,-0.6
6.7557060e-01,0,-0.4
6.7557070e-01,0.04,-0.5
6.7557080e-01,0,-0.6
6.7557090e-01,-0.16,-0.4
6.7557100e-01,-0.16,-0.7
6.7557110e-01,-0.2,-0.4
6.7557120e-01,-0.12,-0.3
6.7557130e-01,0,-0.4
6.7557140e-01,-0.12,-0.6
6.7557150e-01,-0.08,-0.5
6.7557160e-01,0.12,-0.3
6.7557170e-01,-0.08,-0.1
6.7557180e-01,-0.04,-0.4
6.7557190e-01,-0.12,-0.1
6.7557200e-01,-0.08,-0.4
6.7557210e-01,-0.16,-0.5
6.7557220e-01,-0.04,-0.5
6.7557230e-01,-0.04,-0.5
6.7557240e-01,0,-0.2
6.7557250e-01,-0.08,-0.4
6.7557260e-01,-0.08,-0.3
6.7557270e-01,-0.04,-0.6
6.7557280e-01,-0.2,-0.8
6.7557290e-01,0.08,-0.5
6.7557300e-01,-0.16,-0.3
6.7557310e-01,-0.12,-0.5
6.7557320e-01,-0.08,-0.7
6.7557330e-01,0,-0.7
6.7557340e-01,0,-0.8
6.7557350e-01,-0.16,-0.4
6.7557360e-01,0,-0.8
6.7557370e-01,0,-0.3
6.7557380e-01,-0.16,-0.5
6.7557390e-01,-0.12,-0.3
6.7557400e-01,-0.04,-0.4
6.7557410e-01,-0.16,-0.6
6.7557420e-01,-0.08,-0.4
6.7557430e-01,-0.12,-0.5
6.7557440e-01,-0.2,-0.4
6.7557450e-01,-0.04,-0.3
6.7557460e-01,-0.12,-0.6
6.7557470e-01,-0.08,-0.4
6.7557480e-01,-0.04,-0.6
6.7557490e-01,0,-0.4
6.7557500e-01,0,-0.6
6.7557510e-01,-0.04,-0.4
6.7557520e-01,0,-0.7
6.7557530e-01,0.04,-0.3
6.7557540e-01,0,-0.5
6.7557550e-01,-0.04,-0.4
6.7557560e-01,0,-0.5
6.7557570e-01,-0.2,-0.5
6.7557580e-01,-0.12,-0.5
6.7557590e-01,-0.08,-0.5
6.7557600e-01,-0.16,-0.2
6.7557610e-01,-0.08,-0.3
6.7557620e-01,-0.08,-0.6
6.7557630e-01,-0.04,-0.1
6.7557640e-01,-0.04,-0.6
6.7557650e-01,-0.04,-0.5
6.7557660e-01,-0.12,-0.6
6.7557670e-01,0,-0.5
6.7557680e-01,0.04,-0.7
6.7557690e-01,-0.12,-0.2
6.7557700e-01,0.04,-0.6
6.7557710e-01,0.04,-0.4
6.7557720e-01,-0.04,-0.6
6.7557730e-01,-0.08,-0.7
6.7557740e-01,-0.2,-0.3
6.7557750e-01,-0.04,-0.3
6.7557760e-01,-0.12,-0.6
6.7557770e-01,-0.04,-0.8
6.7557780e-01,-0.04,-0.1
6.7557790e-01,-0.24,-0.6
6.7557800e-01,0,-0.6
6.7557810e-01,-0.12,-0.6
6.7557820e-01,-0.08,-0.3
6.7557830e-01,-0.12,-0.5
6.7557840e-01,-0.04,-0.4
6.7557850e-01,0.04,-0.7
6.7557860e-01,-0.08,-0.4
6.7557870e-01,-0.04,-0.4
6.7557880e-01,0.08,-0.9
6.7557890e-01,0.04,-0.6
6.7557900e-01,-0.04,-0.3
6.7557910e-01,0,-0.4
6.7557920e-01,-0.08,-0.4
6.7557930e-01,-0.12,-0.5
6.7557940e-01,-0.04,-0.6
6.7557950e-01,0,-0.4
6.7557960e-01,-0.2,-0.5
6.7557970e-01,-0.08,-0.6
6.7557980e-01,-0.04,-0.6
6.7557990e-01,-0.16,-0.6
6.7558000e-01,-0.12,-0.6
6.7558010e-01,-0.08,-0.1
6.7558020e-01,-0.24,-0.3
6.7558030e-01,0,-0.6
6.7558040e-01,0,-0.5
6.7558050e-01,-0.04,-0.4
6.7558060e-01,0.12,-0.4
6.7558070e-01,0,-0.4
6.7558080e-01,-0.04,-0.4
6.7558090e-01,-0.04,-0.3
6.7558100e-01,0.04,-0.5
6.7558110e-01,0.08,-0.3
6.7558120e-01,-0.08,0
6.7558130e-01,0,-0.3
6.7558140e-01,-0.04,-0.3
6.7558150e-01,0,0.1
6.7558160e-01,-0.04,-0.4
6.7558170e-01,-0.08,-0.3
6.7558180e-01,0.04,-0.4
6.7558190e-01,-0.04,-0.4
6.7558200e-01,0.08,-0.3
6.7558210e-01,-0.08,-0.6
6.7558220e-01,0.08,-0.4
6.7558230e-01,-0.08,-0.3
6.7558240e-01,0.04,-0.6
6.7558250e-01,0.08,-0.5
6.7558260e-01,0.04,-0.5
6.7558270e-01,0,-0.1
6.7558280e-01,0,-0.7
6.7558290e-01,0,-0.2
6.7558300e-01,0.08,0
6.7558310e-01,-0.04,-0.3
6.7558320e-01,0,-0.4
6.7558330e-01,0,-0.5
6.7558340e-01,0.04,-0.6
6.7558350e-01,0,-0.4
6.7558360e-01,-0.12,-0.1
6.7558370e-01,0.08,-0.2
6.7558380e-01,0,-0.4
6.7558390e-01,-0.04,-0.5
6.7558400e-01,0,-0.6
6.7558410e-01,-0.04,-0.3
6.7558420e-01,0,-0.9
6.7558430e-01,0,-0.4
6.7558440e-01,-0.04,-0.3
6.7558450e-01,-0.08,-0.5
6.7558460e-01,0,-0.4
6.7558470e-01,-0.04,-0.1
6.7558480e-01,-0.08,-0.2
6.7558490e-01,0,-0.4
6.7558500e-01,0.08,-0.1
6.7558510e-01,-0.08,-0.4
6.7558520e-01,-0.08,-0.5
6.7558530e-01,0.04,-0.2
6.7558540e-01,-0.04,-0.2
6.7558550e-01,-0.04,-0.7
6.7558560e-01,0,-0.4
6.7558570e-01,0,-0.6
6.7558580e-01,-0.12,-0.6
6.7558590e-01,-0.04,-0.4
6.7558600e-01,-0.08,-0.3
6.7558610e-01,0.04,-0.2
6.7558620e-01,-0.16,-0.4
6.7558630e-01,0.08,-0.2
6.7558640e-01,-0.04,-0.5
6.7558650e-01,0,-0.3
6.7558660e-01,-0.04,-0.5
6.7558670e-01,0,-0.5
6.7558680e-01,0.08,-0.6
6.7558690e-01,-0.12,-0.3
6.7558700e-01,-0.08,-0.5
6.7558710e-01,0,-0.5
6.7558720e-01,-0.04,-0.3
6.7558730e-01,0,-0.5
6.7558740e-01,0.04,-0.4
6.7558750e-01,0.04,-0.4
6.7558760e-01,0.08,-0.3
6.7558770e-01,0,-0.5
6.7558780e-01,0,-0.4
6.7558790e-01,0,-0.2
6.7558800e-01,-0.04,-0.4
6.7558810e-01,0,-0.5
6.7558820e-01,0,-0.9
6.7558830e-01,-0.08,-0.5
6.7558840e-01,-0.04,-0.3
6.7558850e-01,-0.04,-0.2
6.7558860e-01,-0.04,-0.4
6.7558870e-01,0.08,-0.6
6.7558880e-01,0,-0.4
6.7558890e-01,0.04,-0.3
6.7558900e-01,-0.08,-0.3
6.7558910e-01,-0.04,-0.4
6.7558920e-01,-0.04,-0.7
6.7558930e-01,0,-0.4
6.7558940e-01,-0.04,-0.4
6.7558950e-01,-0.04,-0.4
6.7558960e-01,0.08,-0.5
6.7558970e-01,-0.12,-0.5
6.7558980e-01,-0.08,-0.7
6.7558990e-01,0.04,-0.3
6.7559000e-01,-0.08,-0.7
6.7559010e-01,0.04,-0.3
6.7559020e-01,-0.12,-0.3
6.7559030e-01,0,-0.5
6.7559040e-01,0.04,-0.5
6.7559050e-01,-0.12,-0.8
6.7559060e-01,0.04,-0.5
6.7559070e-01,-0.04,-0.6
6.7559080e-01,-0.08,-0.4
6.7559090e-01,-0.08,-0.5
6.7559100e-01,-0.08,-0.4
6.7559110e-01,-0.16,-0.6
6.7559120e-01,-0.08,-0.1
6.7559130e-01,-0.12,-0.4
6.7559140e-01,0,-0.3
6.7559150e-01,0,-0.6
6.7559160e-01,-0.16,-0.6
6.7559170e-01,-0.16,-0.4
6.7559180e-01,0,-0.8
6.7559190e-01,-0.04,-0.4
6.7559200e-01,-0.16,-0.7
6.7559210e-01,-0.12,-0.6
6.7559220e-01,-0.16,-0.3
6.7559230e-01,0,-0.7
6.7559240e-01,-0.12,-0.5
6.7559250e-01,0,-0.5
6.7559260e-01,-0.04,-0.5
6.7559270e-01,0.04,-0.2
6.7559280e-01,-0.04,-0.6
6.7559290e-01,-0.16,-0.4
6.7559300e-01,-0.16,-0.6
6.7559310e-01,0,-0.6
6.7559320e-01,-0.04,-0.7
6.7559330e-01,-0.12,-0.3
6.7559340e-01,-0.16,-0.9
6.7559350e-01,-0.04,-0.5
6.7559360e-01,-0.04,-0.7
6.7559370e-01,-0.04,-0.2
6.7559380e-01,-0.16,-0.3
6.7559390e-01,-0.12,-0.4
6.7559400e-01,-0.12,-0.8
6.7559410e-01,-0.04,-0.3
6.7559420e-01,-0.12,-0.5
6.7559430e-01,-0.04,-0.4
6.7559440e-01,-0.04,-0.6
6.7559450e-01,-0.04,-0.4
6.7559460e-01,-0.16,-0.3
6.7559470e-01,0,-0.6
6.7559480e-01,-0.04,-0.4
6.7559490e-01,-0.08,-0.5
6.7559500e-01,-0.12,-0.7
6.7559510e-01,-0.04,-0.5
6.7559520e-01,-0.08,-0.5
6.7559530e-01,0,-0.5
6.7559540e-01,-0.12,-0.2
6.7559550e-01,-0.16,-0.5
6.7559560e-01,0,-0.8
6.7559570e-01,-0.08,-0.6
6.7559580e-01,-0.08,0
6.7559590e-01,-0.2,-0.2
6.7559600e-01,-0.12,-0.5
6.7559610e-01,-0.12,-0.5
6.7559620e-01,-0.12,-0.2
6.7559630e-01,-0.04,-0.7
6.7559640e-01,0,-0.4
6.7559650e-01,-0.08,-0.6
6.7559660e-01,0,-0.6
6.7559670e-01,-0.04,-0.2
6.7559680e-01,-0.04,-0.8
6.7559690e-01,0,-0.7
6.7559700e-01,-0.2,-0.4
6.7559710e-01,0,-0.7
6.7559720e-01,-0.08,-0.4
6.7559730e-01,-0.12,-0.1
6.7559740e-01,-0.08,-0.7
6.7559750e-01,-0.16,-0.6
6.7559760e-01,0,-0.4
6.7559770e-01,-0.16,-0.4
6.7559780e-01,0.04,-0.4
6.7559790e-01,-0.16,-0.5
6.7559800e-01,-0.12,0
6.7559810e-01,-0.04,-0.4
6.7559820e-01,-0.12,-0.3
6.7559830e-01,0,-0.4
6.7559840e-01,-0.12,-0.4
6.7559850e-01,-0.08,-0.5
6.7559860e-01,-0.04,-0.8
6.7559870e-01,0.12,-0.3
6.7559880e-01,-0.04,-0.4
6.7559890e-01,0.08,-0.6
6.7559900e-01,0.04,-0.5
6.7559910e-01,-0.04,-0.5
6.7559920e-01,0,-0.5
6.7559930e-01,-0.08,-0.4
6.7559940e-01,-0.2,-0.4
6.7559950e-01,-0.04,-0.5
6.7559960e-01,-0.08,-0.6
6.7559970e-01,0.04,-0.7
6.7559980e-01,-0.16,-0.4
6.7559990e-01,-0.2,-0.3
6.7560000e-01,-0.12,-0.7
6.7560010e-01,-0.08,-0.3
6.7560020e-01,-0.08,-0.7
6.7560030e-01,-0.08,-0.5
6.7560040e-01,-0.04,-0.2
6.7560050e-01,-0.16,-0.4
6.7560060e-01,-0.04,-0.5
6.7560070e-01,0,-0.1
6.7560080e-01,0,-0.2
6.7560090e-01,-0.08,-0.3
6.7560100e-01,-0.04,-0.4
6.7560110e-01,-0.12,-0.7
6.7560120e-01,-0.12,-0.5
6.7560130e-01,0,-0.2
6.7560140e-01,0.04,-0.5
6.7560150e-01,0,-0.3
6.7560160e-01,0.08,-0.4
6.7560170e-01,0.04,-0.4
6.7560180e-01,0,-0.3
6.7560190e-01,-0.08,-0.4
6.7560200e-01,-0.24,-0.3
6.7560210e-01,0,-0.2
6.7560220e-01,0,-0.4
6.7560230e-01,-0.08,-0.5
6.7560240e-01,0,-0.3
6.7560250e-01,-0.04,-0.3
6.7560260e-01,-0.08,-0.6
6.7560270e-01,-0.04,-0.3
6.7560280e-01,0.08,-0.2
6.7560290e-01,0.08,-0.3
6.7560300e-01,0,0
6.7560310e-01,-0.04,-0.6
6.7560320e-01,0.08,-0.2
6.7560330e-01,0.04,-0.4
6.7560340e-01,-0.12,-0.4
6.7560350e-01,0.04,-0.2
6.7560360e-01,-0.08,-0.2
6.7560370e-01,-0.12,-0.7
6.7560380e-01,-0.12,-0.4
6.7560390e-01,-0.04,-0.2
6.7560400e-01,-0.08,-0.6
6.7560410e-01,-0.04,-0.4
6.7560420e-01,0.04,-0.4
6.7560430e-01,-0.08,-0.3
6.7560440e-01,-0.04,-0.6
6.7560450e-01,0,-0.5
6.7560460e-01,-0.04,0
6.7560470e-01,0.04,-0.6
6.7560480e-01,-0.04,-0.4
6.7560490e-01,-0.12,-0.4
6.7560500e-01,-0.12,-0.1
6.7560510e-01,0.04,-0.5
6.7560520e-01,-0.04,-0.2
6.7560530e-01,0.04,-0.5
6.7560540e-01,-0.04,-0.9
6.7560550e-01,-0.08,-0.4
6.7560560e-01,0.04,-0.6
6.7560570e-01,-0.04,-0.4
6.7560580e-01,-0.08,-0.7
6.7560590e-01,-0.08,-0.3
6.7560600e-01,0.08,-0.1
6.7560610e-01,0.04,-0.4
6.7560620e-01,0.04,-0.5
6.7560630e-01,-0.08,-0.6
6.7560640e-01,-0.08,-0.2
6.7560650e-01,0.04,-0.3
6.7560660e-01,-0.08,-0.5
6.7560670e-01,-0.16,-0.3
6.7560680e-01,-0.08,-0.5
6.7560690e-01,-0.04,-0.4
6.7560700e-01,-0.04,-0.3
6.7560710e-01,-0.08,-0.4
6.7560720e-01,0.04,-0.3
6.7560730e-01,-0.08,-0.2
6.7560740e-01,-0.04,-0.4
6.7560750e-01,0,-0.4
6.7560760e-01,-0.08,-0.7
6.7560770e-01,-0.12,-0.3
6.7560780e-01,-0.08,-0.4
6.7560790e-01,0,-0.3
6.7560800e-01,0.04,-0.3
6.7560810e-01,-0.04,-0.3
6.7560820e-01,-0.12,-0.2
6.7560830e-01,-0.04,-0.6
6.7560840e-01,-0.12,-0.4
